,Date,Open,High,Low,Close,Volume,Polarity,Subjectivity,Adj Close
57,09-01-07,12417,12466.42969,12369.16992,12416.59961,225190000,0.166861111,0.468,12416.59961
58,10-01-07,12442.95996,12451.61035,12355.62988,12442.16016,226570000,0.057279127,0.375703369,12442.16016
59,11-01-07,12514.66016,12544.45996,12442.95996,12514.98047,261720000,-0.018049683,0.338284003,12514.98047
60,12-01-07,12555.83984,12561.04004,12489.66016,12556.08008,256530000,0.120075758,0.419223485,12556.08008
61,16-01-07,12571.45996,12585.08008,12538.92969,12582.58984,242720000,0,0,12582.58984
62,17-01-07,12575.05957,12614,12550.54981,12577.15039,272720000,0.075104525,0.303064297,12577.15039
63,18-01-07,12567.92969,12611.91016,12547.33984,12567.92969,250690000,0.180255682,0.482623106,12567.92969
64,19-01-07,12565.53027,12586.83984,12523.54981,12565.53027,287480000,0.042172365,0.297314815,12565.53027
65,22-01-07,12477.80957,12572.58008,12450.88965,12477.16016,293400000,0.111526462,0.366328829,12477.16016
66,23-01-07,12534.37012,12554.23047,12468.34961,12533.79981,236760000,0.101342937,0.327914875,12533.79981
67,24-01-07,12621.76953,12623.4502,12531.08008,12621.76953,216920000,0.154545455,0.311818182,12621.76953
68,25-01-07,12503.28027,12622.65039,12487.33984,12502.55957,275780000,-0.018007872,0.29741305,12502.55957
69,26-01-07,12487.09961,12539.08984,12431.33984,12487.01953,247020000,0.143176823,0.338300033,12487.01953
70,29-01-07,12492.23047,12542.7002,12481.49023,12490.78027,234510000,0.068307471,0.311892028,12490.78027
71,30-01-07,12520.03027,12538.4502,12459.45996,12523.30957,244040000,0.025781447,0.374459996,12523.30957
72,31-01-07,12617.2002,12657.01953,12505.2002,12621.69043,258410000,0.04056005,0.406655281,12621.69043
73,01-02-07,12673.83984,12682.57031,12616.08008,12673.67969,235130000,0.058238636,0.300865801,12673.67969
74,02-02-07,12653.41016,12683.92969,12638.34961,12653.49023,203610000,0.113780664,0.361808562,12653.49023
75,05-02-07,12661.66016,12681.20996,12629.86035,12661.74023,204140000,0.151572973,0.398589419,12661.74023
76,06-02-07,12656.86035,12680.57031,12633.94043,12666.30957,201010000,0.125226133,0.382883119,12666.30957
77,07-02-07,12665.66992,12700.28027,12630.5,12666.87012,194020000,0.088015006,0.340302331,12666.87012
78,08-02-07,12638.03027,12665.83008,12575.86035,12637.62988,193820000,0.205674506,0.473344448,12637.62988
79,09-02-07,12580.11035,12675.67969,12545.09961,12580.83008,220330000,0.137580685,0.375555187,12580.83008
80,12-02-07,12549.19043,12607.50977,12536.20996,12552.54981,174980000,0,0,12552.54981
81,13-02-07,12651.29004,12658.21973,12549.19043,12654.84961,204940000,0,0,12654.84961
82,14-02-07,12741.7002,12759.40039,12651.20996,12741.86035,210880000,0.072439706,0.374545279,12741.86035
83,15-02-07,12764.12988,12779.03027,12728.71973,12765.00977,183280000,0.131130752,0.253872054,12765.00977
84,16-02-07,12766.84961,12769.16992,12744.01953,12767.57031,243560000,-0.071333333,0.348666667,12767.57031
85,20-02-07,12782.87012,12795.92969,12704.67969,12786.63965,205760000,0.119565217,0.191304348,12786.63965
86,21-02-07,12735.76953,12782.87012,12707.16992,12738.41016,213470000,0.042857143,0.242559524,12738.41016
87,22-02-07,12679.88965,12763.73047,12650.61035,12686.01953,206860000,-0.022956663,0.398059006,12686.01953
88,23-02-07,12647.87988,12682.12988,12628.01953,12647.48047,215430000,0,0,12647.48047
89,26-02-07,12628.90039,12697.23047,12608.46973,12632.25977,230080000,0.042914692,0.302248607,12632.25977
90,27-02-07,12214.91992,12629.37988,12086.05957,12216.24023,393300000,0.052159728,0.305454227,12216.24023
91,28-02-07,12268.62988,12353.46973,12186.04004,12268.62988,412820000,0.067948718,0.255128205,12268.62988
92,01-03-07,12233.78027,12289.21973,12059.54004,12234.33984,372010000,0.100786713,0.359755245,12234.33984
93,02-03-07,12111.61035,12247.40039,12107.37012,12114.09961,315180000,0.13105615,0.348706774,12114.09961
